layer,group,trace_S,d_total,tau,operator_state_bytes,task,method,source,beta,seed,epoch,research_only
blocks.11.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,1,True
blocks.11.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,1,True
head,patch_head,1930.0,5526346,1.0,0,vit,dp_sgd,none,,42,1,True
identity,identity,47616.0,5526346,1.0,0,vit,dp_sgd,none,,42,1,True
patch_embed,patch_head,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.0.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.0.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.0.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.0.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.0.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.0.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.1.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.1.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.1.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.1.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.1.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.1.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.2.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.2.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.2.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.2.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.2.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.2.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.3.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.3.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.3.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.3.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.3.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.3.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.4.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.4.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.4.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.4.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.4.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.4.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.5.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.5.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.5.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.5.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.5.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.5.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.6.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.6.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.6.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.6.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.6.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.6.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.7.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.7.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.7.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.7.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.7.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.7.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.8.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.8.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.8.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.8.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.8.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.8.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.9.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.9.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.9.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.9.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.9.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.9.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.10.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.10.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.10.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.10.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.10.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.10.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.11.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.11.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.11.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.11.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.11.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
blocks.11.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
head,patch_head,1930.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
identity,identity,47616.0,5526346,1.0,0,vit,dp_sgd,none,,42,2,True
patch_embed,patch_head,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.0.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.0.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.0.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.0.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.0.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.0.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.1.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.1.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.1.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.1.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.1.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.1.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.2.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.2.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.2.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.2.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.2.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.2.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.3.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.3.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.3.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.3.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.3.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.3.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.4.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.4.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.4.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.4.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.4.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.4.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.5.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.5.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.5.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.5.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.5.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.5.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.6.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.6.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.6.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.6.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.6.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.6.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.7.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.7.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.7.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.7.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.7.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.7.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.8.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.8.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.8.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.8.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.8.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.8.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.9.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.9.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.9.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.9.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.9.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.9.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.10.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.10.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.10.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.10.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.10.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.10.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.11.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.11.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.11.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.11.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.11.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
blocks.11.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
head,patch_head,1930.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
identity,identity,47616.0,5526346,1.0,0,vit,dp_sgd,none,,42,3,True
patch_embed,patch_head,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.0.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.0.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.0.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.0.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.0.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.0.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.1.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.1.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.1.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.1.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.1.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.1.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.2.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.2.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.2.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.2.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.2.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.2.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.3.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.3.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.3.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.3.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.3.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.3.mlp.fc2,mlp_fc2,147648.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.4.attn.q_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.4.attn.k_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.4.attn.v_proj,attention_qkv,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.4.attn.out_proj,attention_out,37056.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
blocks.4.mlp.fc1,mlp_fc1,148224.0,5526346,1.0,0,vit,dp_sgd,none,,42,4,True
