method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,operator_gain_min,operator_gain_max,operator_state_bytes,parameters_finite,parameters_updated,all_parameters_updated,test_accuracy,epsilon,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,transformed_norm_max,best_accuracy,epoch_logical_steps,epoch_optimizer_steps,epoch_noise_events,noise_steps,dataset,layer_gain_min_conv1,layer_gain_max_conv1,layer_gain_min_conv2,layer_gain_max_conv2,layer_gain_min_fc1,layer_gain_max_fc1,layer_gain_min_fc2,layer_gain_max_fc2
dp_adam,base,pink,bk,True,2,1.992332714190104,1e-05,0.806884765625,42,5,0.4511323919535702,0.4218584216141607,0.9331,1.2034777086228132,0.0,0.0,1.798986696638167,0.1631608931347727,0.0,0.2453493578359484,0,0,0,0,0,0,58277888,102762496,0.0013559693470597,20333568,48234496,3.791456392966211,183960576,291504128,3.792812362313271,1.7364002587273717,0.1867320984601974,0.8387730121612549,0.0005028110463172,43.6053466796875,405.4588012695313,585.69287109375,1170,1170,1170,1170,1.0,1.0,1.0,1.0,1.0,1.0,0,True,True,True,0.9331,1.992332714190104,0.0005028110463172,43.6053466796875,405.4588012695313,585.69287109375,0.9331,234,234,234,1170,mnist,,,,,,,,
dp_kfc_a_raw,a_only,pink,bk,True,2,1.992332714190104,1e-05,0.806884765625,42,5,0.2554345440883667,0.2222374901190051,0.9619,1.1997528988867998,0.1087226429954171,0.0,1.7920601144433022,0.1555147049948573,0.0440179267898201,0.234875401481986,0,0,2273836032,936,48419748,0,58277888,110790656,0.1449764696881175,156055552,213909504,3.9885008400306106,202100736,293601280,4.133477309718728,0.5594861963763833,0.1315438002347946,0.8866886496543884,6.91287568770349e-05,5.596686840057373,693.279296875,898.7716674804688,1170,1170,1170,1170,1.9762182455319623,15.846288354785544,15.848931924611138,15.848931924611138,0.0743981982789528,15.848931924611138,9998108,True,True,True,0.9619,1.992332714190104,6.91287568770349e-05,5.596686840057373,693.279296875,898.7716674804688,0.9619,234,234,234,1170,mnist,0.9402298047932498,3.4911860588234096,0.2977179146649456,10.450798799320973,0.0743981982789528,15.848931924611138,0.0950432987478963,15.848931924611138
dp_kfc_a_norm,a_only,pink,bk,True,2,1.992332714190104,1e-05,0.806884765625,42,5,0.1971686540696865,0.1767283559791394,0.9604,1.1006148532032969,0.1056592762470245,0.0,1.7833064058795571,0.1629418497905135,0.0448715323582291,0.2393711498007178,0,0,2273836032,936,48419748,0,58277888,110790656,0.1424617301672697,156055552,213909504,3.8335612900555134,202100736,293601280,3.976023020222783,0.5724784750491381,0.1066706702113151,0.9152332544326782,0.0003627160622272,1.3463987112045288,44.04022216796875,60.58677291870117,1170,1170,1170,1170,0.1181162512891207,0.9997757181288776,1.0,1.0,0.0042124318207762,1.0,9998108,True,True,True,0.9604,1.992332714190104,0.0003627160622272,1.3463987112045288,44.04022216796875,60.58677291870117,0.9604,234,234,234,1170,mnist,0.2693152954185786,1.0,0.0278829763449118,1.0,0.0042124318207762,1.0,0.005686350790759,1.0
dp_kfc_a_mix05,a_only,pink,bk,True,2,1.992332714190104,1e-05,0.806884765625,42,5,0.3371007409360673,0.3159833239158615,0.9429,1.1051739426329732,0.1055208360776305,0.0,1.7700478797778487,0.1676746662706136,0.0457833297550678,0.2355745751410722,0,0,2273836032,936,48419748,0,58277888,110790656,0.1274490943178534,156055552,213909504,3.818762922659516,202100736,293601280,3.94621201697737,0.5534979123622179,0.15501469373703,0.8691979050636292,0.0003899615257978,10.80705451965332,174.29164123535156,243.6490173339844,1170,1170,1170,1170,0.5477053370324854,0.9995553654179912,1.0,1.0,0.5012623862887743,1.0,9998108,True,True,True,0.9429,1.992332714190104,0.0003899615257978,10.80705451965332,174.29164123535156,243.6490173339844,0.9429,234,234,234,1170,mnist,0.6346576477092893,1.0,0.5117619200722168,1.0,0.5012623862887743,1.0,0.5014701163700847,1.0
