method,geometry,source,engine,damping,learning_rate,C,seed,epoch,accuracy,test_loss,train_loss,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,epsilon_target,epsilon_spent,delta,noise_multiplier,noise_std,sample_rate,logical_batch_size,physical_batch_size,logical_steps,physical_steps,optimizer_steps,noise_events,accountant_steps
DP-KFC,full,synthetic,bk,0.001,0.0005,2.0,42,3,0.8509174311926605,1.1463495547135392,1.0555959217627915,0.2820828855037689,0.7404364347457886,0.07464925199747086,34262.0625,118476.46875,278049.9375,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.015204383138576668,1024,128,198,1581,198,198,198
DP-KFC,full,synthetic,bk,0.003,0.0005,2.0,42,3,0.8577981651376146,1.0358705446714331,0.9601203879828046,0.276039719581604,0.7474920749664307,0.06698699295520782,16086.22265625,54875.30859375,129319.1875,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.015204383138576668,1024,128,198,1581,198,198,198
DP-KFC,full,synthetic,bk,0.01,0.0005,2.0,42,3,0.8635321100917431,0.9294689645946139,0.8604176945299696,0.2685266435146332,0.7553527355194092,0.06085457652807236,6754.642578125,22279.314453125,55266.9765625,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.015204383138576668,1024,128,198,1581,198,198,198
DP-KFC,full,synthetic,bk,0.03,0.0005,2.0,42,3,0.8658256880733946,0.8411432658273427,0.7752600714337982,0.262082576751709,0.7625859379768372,0.05743410810828209,2944.330078125,9353.7880859375,23260.990234375,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.015204383138576668,1024,128,198,1581,198,198,198
DP-KFC,full,synthetic,bk,0.1,0.0005,2.0,42,3,0.8669724770642202,0.7459220999174692,0.6853617209489296,0.2544655501842499,0.7714596390724182,0.056214574724435806,1085.869384765625,3327.0869140625,5785.86767578125,3.0,2.994338991003502,1e-05,0.8184814453125,1.636962890625,0.015204383138576668,1024,128,198,1581,198,198,198
