epoch,layer,group,method,damping,A_trace_per_dim,A_eig_p10,A_eig_p50,A_eig_p90,A_eig_p99,A_eig_min,A_eig_max,G_trace_per_dim,G_eig_p10,G_eig_p50,G_eig_p90,G_eig_p99,G_eig_min,G_eig_max,relative_damping_A,relative_damping_G
1,patch_embed,patch_head,dp_kfc_a,0.1,0.2509732962003455,0.025429101682585276,0.04967877377267411,0.25974008470406285,4.191966402854209,0.016652998915899702,26.338540601826764,,,,,,,,0.3984487653227162,
1,blocks.0.attn.q_proj,attention_qkv,dp_kfc_a,0.1,0.9999754015028168,0.12082503571735391,0.34665727605385666,1.6361272475356254,18.878374994462717,-4.871749946707475e-08,24.91914137192401,,,,,,,,0.10000245991022842,
1,blocks.0.attn.k_proj,attention_qkv,dp_kfc_a,0.1,0.9999754015028168,0.12082503571735391,0.34665727605385666,1.6361272475356254,18.878374994462717,-4.871749946707475e-08,24.91914137192401,,,,,,,,0.10000245991022842,
1,blocks.0.attn.v_proj,attention_qkv,dp_kfc_a,0.1,0.9999754015028168,0.12082503571735391,0.34665727605385666,1.6361272475356254,18.878374994462717,-4.871749946707475e-08,24.91914137192401,,,,,,,,0.10000245991022842,
1,blocks.0.attn.out_proj,attention_out,dp_kfc_a,0.1,0.00583482690296049,5.1167451644084634e-06,8.744708017596262e-05,0.0007221546557340784,0.0017554823028315834,1.0402385224834563e-06,1.0798700345829473,,,,,,,,17.138469000556253,
1,blocks.0.mlp.fc1,mlp,dp_kfc_a,0.1,0.9999764604889667,0.12125227658495125,0.346673576400275,1.6464988222768822,18.868174165460704,-4.1294580834721593e-08,24.911471659875456,,,,,,,,0.1000023540065155,
1,blocks.0.mlp.fc2,mlp,dp_kfc_a,0.1,0.023092593616225864,0.0004912217569234788,0.0012733334826145297,0.035554352436178674,0.3607338655385868,0.00033783329558626597,2.0355226309428955,,,,,,,,4.330392751108548,
1,blocks.1.attn.q_proj,attention_qkv,dp_kfc_a,0.1,0.9999872677684448,0.10090689329513339,0.3266319191314621,1.6278686436404632,19.014962196099916,-2.8422225421487863e-08,25.636085613352567,,,,,,,,0.10000127323936671,
1,blocks.1.attn.k_proj,attention_qkv,dp_kfc_a,0.1,0.9999872677684448,0.10090689329513339,0.3266319191314621,1.6278686436404632,19.014962196099916,-2.8422225421487863e-08,25.636085613352567,,,,,,,,0.10000127323936671,
1,blocks.1.attn.v_proj,attention_qkv,dp_kfc_a,0.1,0.9999872677684448,0.10090689329513339,0.3266319191314621,1.6278686436404632,19.014962196099916,-2.8422225421487863e-08,25.636085613352567,,,,,,,,0.10000127323936671,
1,blocks.1.attn.out_proj,attention_out,dp_kfc_a,0.1,0.006091875521619346,4.175509066406358e-06,7.920517868579469e-05,0.0007491634975632912,0.002069594451046801,8.063987132637465e-07,1.1271072504415047,,,,,,,,16.4153058684656,
1,blocks.1.mlp.fc1,mlp,dp_kfc_a,0.1,0.9999872940191952,0.10093058642429324,0.3261125467730007,1.628171846938174,18.997032032376186,-2.7243907758459393e-08,25.620476854584627,,,,,,,,0.10000127061422488,
1,blocks.1.mlp.fc2,mlp,dp_kfc_a,0.1,0.0227455152325836,0.000458265517482853,0.0012211584884934017,0.03417108854911682,0.38159681324419836,0.0002885713188858969,1.9421191497568122,,,,,,,,4.3964710835280245,
1,blocks.2.attn.q_proj,attention_qkv,dp_kfc_a,0.1,0.9999886090273684,0.08687506486260019,0.3139383950718673,1.6956818426183395,19.076278685558975,2.628767515344678e-08,25.538346063624843,,,,,,,,0.10000113911023874,
1,blocks.2.attn.k_proj,attention_qkv,dp_kfc_a,0.1,0.9999886090273684,0.08687506486260019,0.3139383950718673,1.6956818426183395,19.076278685558975,2.628767515344678e-08,25.538346063624843,,,,,,,,0.10000113911023874,
1,blocks.2.attn.v_proj,attention_qkv,dp_kfc_a,0.1,0.9999886090273684,0.08687506486260019,0.3139383950718673,1.6956818426183395,19.076278685558975,2.628767515344678e-08,25.538346063624843,,,,,,,,0.10000113911023874,
1,blocks.2.attn.out_proj,attention_out,dp_kfc_a,0.1,0.0063844285554758035,3.8096386267661697e-06,7.387223741732983e-05,0.0008534697960901208,0.0024690226679952992,8.660802124085982e-07,1.1795348351896442,,,,,,,,15.66310894249602,
1,blocks.2.mlp.fc1,mlp,dp_kfc_a,0.1,0.9999886374399453,0.08687556721840949,0.31314157512661867,1.6951786958918094,19.047687027879228,2.1606144083324756e-08,25.504112650289393,,,,,,,,0.10000113626891641,
1,blocks.2.mlp.fc2,mlp,dp_kfc_a,0.1,0.023058663311284835,0.0004502934400044845,0.0012124018383053328,0.034133919024934456,0.35858389523768874,0.0003073955606915928,2.057327756012633,,,,,,,,4.336764826739126,
1,blocks.3.attn.q_proj,attention_qkv,dp_kfc_a,0.1,0.9999895222446462,0.07611703253940157,0.2977088310469332,1.7370922470357437,18.56708580814334,5.644688075272669e-09,25.662774687496825,,,,,,,,0.10000104778651384,
1,blocks.3.attn.k_proj,attention_qkv,dp_kfc_a,0.1,0.9999895222446462,0.07611703253940157,0.2977088310469332,1.7370922470357437,18.56708580814334,5.644688075272669e-09,25.662774687496825,,,,,,,,0.10000104778651384,
1,blocks.3.attn.v_proj,attention_qkv,dp_kfc_a,0.1,0.9999895222446462,0.07611703253940157,0.2977088310469332,1.7370922470357437,18.56708580814334,5.644688075272669e-09,25.662774687496825,,,,,,,,0.10000104778651384,
1,blocks.3.attn.out_proj,attention_out,dp_kfc_a,0.1,0.006704056339936784,3.752334878165e-06,7.210665024487978e-05,0.0009041821364934718,0.002667096613684656,8.610849762794331e-07,1.2387528404094066,,,,,,,,14.91634242455411,
1,blocks.3.mlp.fc1,mlp,dp_kfc_a,0.1,0.9999895361421022,0.07625845839510335,0.2983296694141024,1.7350041054680676,18.570445097048303,-2.2288683053029567e-08,25.632613440372584,,,,,,,,0.10000104639673914,
1,blocks.3.mlp.fc2,mlp,dp_kfc_a,0.1,0.02312461590643861,0.0004372199858948055,0.0012057187777243918,0.032343325517737796,0.33895511225704084,0.00029319010129207036,2.061390468795926,,,,,,,,4.324396150171597,
1,blocks.4.attn.q_proj,attention_qkv,dp_kfc_a,0.1,0.9999904092111737,0.06852593629881547,0.27925973894885686,1.8312427540581493,19.013880223378244,-1.2783389300345124e-09,25.12902625046249,,,,,,,,0.10000095908808106,
1,blocks.4.attn.k_proj,attention_qkv,dp_kfc_a,0.1,0.9999904092111737,0.06852593629881547,0.27925973894885686,1.8312427540581493,19.013880223378244,-1.2783389300345124e-09,25.12902625046249,,,,,,,,0.10000095908808106,
1,blocks.4.attn.v_proj,attention_qkv,dp_kfc_a,0.1,0.9999904092111737,0.06852593629881547,0.27925973894885686,1.8312427540581493,19.013880223378244,-1.2783389300345124e-09,25.12902625046249,,,,,,,,0.10000095908808106,
