task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,d_total,tau,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max
vit,dp_kfm,public,0.25,42,1,patch_embed,True,0.9991607662922732,0.1392733434042978,0.9942377952959832,0.10737736077472783,patch_head,46443.31529397146,5526346,7.702710813543835,154292600,40.54907901739298,0.3041175199408057,126543.74879238172,177913.0501668289,0.0010017209385508122,178.21922759355357,15.195541225761819,0.001,0.015195541225761819
vit,dp_kfm,public,0.25,42,1,blocks.0.attn.q_proj,True,0.9886516326513766,0.1600272341249859,0.9990250703199132,0.12069557882425068,attention_qkv,17976.919530906238,5526346,7.702710813543835,154292600,10.42666276940867,0.6351721330788668,27251.575686393706,6291.923249392721,0.001000003570205801,6.291945712853605,1.8784424453587807,0.001,0.0018784424453587808
vit,dp_kfm,public,0.25,42,1,blocks.0.attn.k_proj,True,0.9886516326513766,0.1600272341249859,0.9988143174592387,0.05907208140878571,attention_qkv,18041.086383330472,5526346,7.702710813543835,154292600,13.666078477938887,0.6358718085620294,27235.428169253508,6291.923249392721,0.001000003570205801,6.291945712853605,5.543604326511054,0.001,0.005543604326511054
vit,dp_kfm,public,0.25,42,1,blocks.0.attn.v_proj,True,0.9886516326513766,0.1600272341249859,0.9807454507810706,0.2030178677669794,attention_qkv,18314.458535379003,5526346,7.702710813543835,154292600,11.23688254670855,0.6358632544980809,27238.81604223505,6291.923249392721,0.001000003570205801,6.291945712853605,2.533961134120588,0.001000229739207434,0.0025345432843432098
vit,dp_kfm,public,0.25,42,1,blocks.0.attn.out_proj,True,0.9708667368223768,0.2969648171181025,0.9938789785843614,0.11254667393533051,attention_out,15953.22495797232,5526346,7.702710813543835,154292600,13.110283950474233,0.49079894930574386,30686.735244970227,1896.1977224680234,0.001000444362159864,1.8970403209835085,15.579903788219804,0.001,0.015579903788219805
vit,dp_kfm,public,0.25,42,1,blocks.0.mlp.fc1,True,0.9885138744145511,0.1739466697747348,0.9948401132193148,0.11961022245634013,mlp_fc1,103553.21716605155,5526346,7.702710813543835,154292600,14.203452859670039,0.6762974064569253,113283.70915274345,22199.116970146304,0.001,22.199116970146303,1.8333274340465122,0.0010001136304360924,0.001833535755842343
vit,dp_kfm,public,0.25,42,1,blocks.0.mlp.fc2,True,0.9933974372301647,0.11796328977876887,0.9965363860496357,0.11377712885045041,mlp_fc2,73855.22726163224,5526346,7.702710813543835,154292600,17.042241134172755,0.46155067735341526,127982.46621712066,13767.505095247721,0.0010173516493354345,14.006394015884267,6.127052164722615,0.001,0.006127052164722615
vit,dp_kfm,public,0.25,42,1,blocks.1.attn.q_proj,True,0.9939433473116853,0.11079292202091777,0.9947336922749431,0.10623320752748569,attention_qkv,25842.67469626806,5526346,7.702710813543835,154292600,9.553448642927192,0.5785269759637832,30641.45995555025,7502.53150219249,0.001,7.50253150219249,1.1102808915906641,0.0010000000141568415,0.0011102809073087348
vit,dp_kfm,public,0.25,42,1,blocks.1.attn.k_proj,True,0.9939433473116853,0.11079292202091777,0.9952617195835779,0.1075088811760733,attention_qkv,25854.25532020392,5526346,7.702710813543835,154292600,9.740660277886038,0.5785356904242461,30641.3011764955,7502.53150219249,0.001,7.50253150219249,1.1999019517469511,0.0010000000420273556,0.001199902002175657
vit,dp_kfm,public,0.25,42,1,blocks.1.attn.v_proj,True,0.9939433473116853,0.11079292202091777,0.9965582068443419,0.12695732084141934,attention_qkv,26048.41858404026,5526346,7.702710813543835,154292600,10.088347889154281,0.5786679724142965,30638.894776504178,7502.53150219249,0.001,7.50253150219249,1.3806143176700556,0.0010003985395658488,0.0013811645471008245
vit,dp_kfm,public,0.25,42,1,blocks.1.attn.out_proj,True,0.9916812507354869,0.13058808127810823,0.9960023317486959,0.11827631986956967,attention_out,20715.66417004284,5526346,7.702710813543835,154292600,15.208705886558302,0.4592360167346067,32494.021677577843,8914.028543720337,0.0010877882950070614,9.696575911217824,6.001986649751697,0.001,0.006001986649751698
vit,dp_kfm,public,0.25,42,1,blocks.1.mlp.fc1,True,0.9913147799038119,0.13173138207045604,0.992083050667068,0.1552890635869572,mlp_fc1,139126.0937079835,5526346,7.702710813543835,154292600,13.053481442668597,0.47757480947502984,132218.83416959527,17647.520551257654,0.001,17.647520551257653,1.6452114678056464,0.0010001018810079977,0.0016453790836083557
vit,dp_kfm,public,0.25,42,1,blocks.1.mlp.fc2,True,0.9952361007872776,0.09767864120399854,0.9871471917992359,0.17781899888205363,mlp_fc2,73485.74250689893,5526346,7.702710813543835,154292600,13.265724049716228,0.3717969663754767,135525.5516838225,9505.716211231926,0.0010105445742495782,9.605949941616679,3.2579093148812777,0.001,0.0032579093148812775
vit,dp_kfm,public,0.25,42,1,blocks.2.attn.q_proj,True,0.9930319966874323,0.11807872059619132,0.9937809908859371,0.12101443063839977,attention_qkv,33142.93959323687,5526346,7.702710813543835,154292600,10.598506181690079,0.4319055856832438,33453.95280457913,11538.103747586094,0.0010000059194918984,11.538172047297751,1.0935639628694622,0.0010000044693889742,0.0010935688504321805
vit,dp_kfm,public,0.25,42,1,blocks.2.attn.k_proj,True,0.9930319966874323,0.11807872059619132,0.9965042176637331,0.13372390056790057,attention_qkv,33173.176299631414,5526346,7.702710813543835,154292600,10.843321955850966,0.4319281047654322,33453.61990519023,11538.103747586094,0.0010000059194918984,11.538172047297751,1.1981604276575046,0.0010000109053898457,0.001198173494064066
